Benchmark,LLC_MPKI_Baseline,LLC_MPKI_TimeCache,Normalized_IPC,Normalized_Exec_Time
perlbench,0.009900,0.049500,0.990505,1.009586
gcc,1.026500,1.053430,0.998729,1.001273
bwaves,3.414980,4.469150,1.045632,0.956359
mcf,0.824450,4.874160,0.937727,1.066408
cactuBSSN,0.325387,2.160460,0.907334,1.102130
lbm,5.431630,6.210290,0.868623,1.151248
omnetpp,0.988675,2.419450,0.901660,1.109065
wrf,0.590612,5.293380,0.696640,1.435462
xalancbmk,0.029212,0.243200,0.952431,1.049944
x264,0.170887,0.228887,0.993021,1.007028
cam4,0.105275,1.015560,0.938399,1.065645
pop2,0.374437,1.400750,0.916337,1.091301
fotonik3d,1.103430,2.240900,0.980093,1.020311
roms,0.461238,1.575370,0.931007,1.074106
xz,0.165100,0.718313,0.923476,1.082866
